seed,mean_cosine,mean_sign_agree,mean_topk_recall,mean_spearman,std_attribution,kernel_width,runtime_ms,gate_cosine,gate_sign_agree,gate_topk_recall,all_gates_pass
0,0.9995317230358627,1.0,1.0,0.9759000729485333,0.9372948986271582,2.449489742783178,96.7516999999134,True,True,True,True
1,0.9978044335164261,1.0,1.0,0.9759000729485333,0.9848163178541328,2.449489742783178,89.88119999958144,True,True,True,True
2,0.99855271796184,1.0,1.0,0.9759000729485333,1.028475782635151,2.449489742783178,91.94999999999709,True,True,True,True
3,0.9978373128036674,1.0,1.0,0.9759000729485333,0.9702786040141145,2.449489742783178,88.90210000026855,True,True,True,True
4,0.9995730008454075,1.0,1.0,0.9759000729485333,0.9918623501620277,2.449489742783178,89.57459999965067,True,True,True,True
