seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,runtime_ms
11,50,exact_linear,deletion_fidelity_aopc_at_3,1.8057807326702269,1.5230591287142954,2.113190606494232,50,1.0,1.4498760000094535
11,50,exact_linear,stability_top3_jaccard,0.97,0.93,1.0,50,1.0,1.4498760000094535
11,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.933983357241003,0.6848910657162522,1.1905675081004532,50,1.0,1.6090219999966848
11,50,randomized_negative_control,stability_top3_jaccard,0.264,0.21200000000000002,0.316,50,1.0,1.6090219999966848
11,100,exact_linear,deletion_fidelity_aopc_at_3,1.8208564152281446,1.6194869721125988,2.0498324113831203,100,0.99,2.468922999980805
11,100,exact_linear,stability_top3_jaccard,0.9191919191919192,0.8787878787878788,0.9545454545454546,99,0.99,2.468922999980805
11,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8092468501487147,0.667611980752772,0.9661513214650336,100,0.99,2.722545000011678
11,100,randomized_negative_control,stability_top3_jaccard,0.26565656565656565,0.23030303030303031,0.30507575757575756,99,0.99,2.722545000011678
11,200,exact_linear,deletion_fidelity_aopc_at_3,1.7350006237673044,1.5982119331216067,1.882252254889156,200,0.99,4.624984000002996
11,200,exact_linear,stability_top3_jaccard,0.9545454545454546,0.9343434343434344,0.9722853535353535,198,0.99,4.624984000002996
11,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8484080944975345,0.7466211031539037,0.9494457781368864,200,0.99,5.334459000010838
11,200,randomized_negative_control,stability_top3_jaccard,0.2601010101010101,0.23029040404040405,0.2894065656565658,198,0.99,5.334459000010838
23,50,exact_linear,deletion_fidelity_aopc_at_3,1.658653610284778,1.3880563724551989,1.9266385064579807,50,0.98,1.2217789999908746
23,50,exact_linear,stability_top3_jaccard,0.9489795918367347,0.8979591836734694,0.9897959183673469,49,0.98,1.2217789999908746
23,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8108922588448718,0.6297151657531376,1.0019544751284353,50,0.98,1.4505089999943266
23,50,randomized_negative_control,stability_top3_jaccard,0.23265306122448975,0.1856632653061224,0.2776020408163265,49,0.98,1.4505089999943266
23,100,exact_linear,deletion_fidelity_aopc_at_3,1.703820937592913,1.5038678504408451,1.9333905098919069,100,0.99,2.350266999997075
23,100,exact_linear,stability_top3_jaccard,0.9444444444444444,0.9141414141414141,0.9747474747474747,99,0.99,2.350266999997075
23,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6854190663456425,0.5594538213365795,0.8141479244282577,100,0.99,2.873505999986037
23,100,randomized_negative_control,stability_top3_jaccard,0.22121212121212122,0.18484848484848485,0.2565909090909091,99,0.99,2.873505999986037
23,200,exact_linear,deletion_fidelity_aopc_at_3,1.7741628391239288,1.6223533009497397,1.92719441258534,200,0.985,4.66423699998586
23,200,exact_linear,stability_top3_jaccard,0.9543147208121827,0.934010152284264,0.9720812182741116,197,0.985,4.66423699998586
23,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7023404924145524,0.6053946569396562,0.8088657737553846,200,0.985,5.238444999974945
23,200,randomized_negative_control,stability_top3_jaccard,0.2654822335025381,0.23704314720812186,0.2939086294416244,197,0.985,5.238444999974945
37,50,exact_linear,deletion_fidelity_aopc_at_3,1.7240821369155237,1.4550108263320585,2.007613880575916,50,1.0,1.2344970000128797
