seed,accuracy,roc_auc,coefficient_cosine_to_truth,fit_ms
11,0.7983333333333333,0.8698074523087894,0.9980324608948377,64.6447969999997
23,0.8166666666666667,0.8968865529375083,0.997715214030431,73.97152400000095
37,0.8183333333333334,0.8968373493975904,0.999626753562084,76.81154800002332
41,0.8166666666666667,0.8964702174598173,0.9973920383728087,67.7277320000087
53,0.8083333333333333,0.88079595563672,0.9994946505124973,70.64183500000354
67,0.7783333333333333,0.879106321871069,0.9967522708438129,79.91917400002535
71,0.7816666666666666,0.8630245535714286,0.9976597398384786,80.07761600001118
83,0.7633333333333333,0.8530685314685315,0.996373372841619,81.11828099998775
97,0.7983333333333333,0.8687680103249925,0.9986967244115365,79.669894999995
101,0.795,0.8735940965990793,0.9985140753660141,83.6290479999775
